LOCUS_TAG,p_vals,GENE
KP0228_00231,0,rstB 1 (crrB) CDS
KP0228_00384,0,narL CDS
mgrB,0,mgrB CDS
KP0228_00798,4.3917435221807466e-5,hypothetical protein CDS
KP0228_00799,3.9525691699604515e-4,hypothetical protein CDS
KP0228_01419,3.9525691699604515e-4,hypF CDS
KP0228_02222,3.9525691699604515e-4,malT CDS
KP0228_02357,0.001229688186209943,hypothetical protein CDS
KP0228_00228,0.0025472112428633897,hypothetical protein CDS
KP0228_00250,0.0025472112428633897,potA 2 CDS
KP0228_00305,0.0025472112428633897,iscA 1 CDS
KP0228_00926,0.0025472112428633897,gyrA CDS
KP0228_00943,0.0025472112428633897,hypothetical protein CDS
KP0228_01053,0.0025472112428633897,tauR CDS
KP0228_01205,0.0025472112428633897,yfiN CDS
KP0228_01499,0.0025472112428633897,barA CDS
KP0228_01520,0.0025472112428633897,msuD 2 CDS
KP0228_02231,0.0025472112428633897,glgC 2 CDS
KP0228_02342,0.0025472112428633897,tag CDS
KP0228_02554,0.0025472112428633897,yieH CDS
KP0228_02725,0.0025472112428633897,ansA CDS
KP0228_02786,0.0025472112428633897,trpGD CDS
KP0228_03168,0.0025472112428633897,hypothetical protein CDS
KP0228_03192,0.0025472112428633897,hypothetical protein CDS
KP0228_03346,0.0025472112428633897,manP CDS
KP0228_03719,0.0025472112428633897,basR (pmrA) CDS
KP0228_03885,0.0025472112428633897,ftsK CDS
KP0228_03915,0.0025472112428633897,hypothetical protein CDS
KP0228_03925,0.0025472112428633897,amaB 2 CDS
KP0228_04079,0.0025472112428633897,phoQ CDS
KP0228_04175,0.0025472112428633897,hypothetical protein CDS
KP0228_04196,0.0025472112428633897,D-threonine aldolase CDS
KP0228_04432,0.0025472112428633897,fhuA 3 CDS
KP0228_04538,0.0025472112428633897,acoB CDS
KP0228_04953,0.0025472112428633897,zraR 2 CDS
KP0228_00023,0.011550285463328924,gsiA 1 CDS
KP0228_00028,0.011550285463328924,hypothetical protein CDS
KP0228_00031,0.011550285463328924,fdnH CDS
KP0228_00036,0.011550285463328924,benC CDS
KP0228_00046,0.011550285463328924,narZ CDS
KP0228_00056,0.011550285463328924,hypothetical protein CDS
KP0228_00063,0.011550285463328924,yecS 1 CDS
KP0228_00084,0.011550285463328924,vdh CDS
KP0228_00094,0.011550285463328924,lysN 1 CDS
KP0228_00197,0.011550285463328924,stp CDS
KP0228_00204,0.011550285463328924,codAch2 CDS
KP0228_00274,0.011550285463328924,ydbM CDS
KP0228_00331,0.011550285463328924,hypothetical protein CDS
KP0228_00381,0.011550285463328924,narG CDS
KP0228_00386,0.011550285463328924,nasA CDS
KP0228_00558,0.011550285463328924,argS CDS
KP0228_00570,0.011550285463328924,hsrA 1 CDS
